Filename,Category,Phishing_Count,Trojan_Count,Spam_Count,Other_Count,None_Count
VirusShare_2134cbfb2cac963f13cbed3229ad9bb2.json,Phishing,7,4,0,3,47
VirusShare_2134f409cec778ab39e535db54e3f865.json,Phishing,9,5,0,2,45
VirusShare_21352721578e85fac83d41ceb761461e.json,Phishing,7,4,0,3,47
VirusShare_21418bd2be303ca80e8c34f551703252.json,Phishing,8,4,0,3,46
VirusShare_2141d95cd5ff92c4bf8310519fb179ca.json,Phishing,7,5,0,3,46
VirusShare_2144b50358c36d30e1c3faffcf32e0e9.json,Phishing,8,5,0,3,45
VirusShare_2145c6d8ccad30fcad11e65ff763bb90.json,Phishing,9,6,6,5,35
VirusShare_214cec5fd3f236d43ef3af3a94837e90.json,Phishing,8,4,0,3,46
VirusShare_214d169cf491ec41839f6915b23208f7.json,Phishing,7,4,0,3,47
VirusShare_215231846d9591f9da214921bc15ecd1.json,Phishing,6,4,0,3,48
VirusShare_2154888d2108c5215801b1d7499067ab.json,Phishing,8,4,0,3,46
VirusShare_2155691278824c17e2443f4914a83000.json,Phishing,8,4,0,3,46
VirusShare_215aca6671dfcaf1b50dee0a7d745e8c.json,Phishing,7,6,0,3,45
VirusShare_215cf613eaede1789f02ac001cb26b83.json,Phishing,8,5,0,3,45
VirusShare_216530df6ffcae0bcca4dd15a9027d79.json,Phishing,11,5,6,8,31
VirusShare_21672c8e6b114382fdcb4c8616a95085.json,Phishing,8,4,0,3,46
VirusShare_2168af844b81ef885d593ce0c0c288a3.json,Phishing,7,4,0,3,47
VirusShare_216ac639ab0235be9410a43bfb08afa7.json,Phishing,9,3,1,3,45
VirusShare_0000bfb9a6f94be1b6293d4717fc0f95.json,Multiple,8,8,0,4,41
VirusShare_00012d06007b35991c13bcfef2f31758.json,Phishing,8,4,0,3,46
VirusShare_0001aee4e7d9ec2093f86da892f5d77e.json,Phishing,8,4,0,3,46
VirusShare_0001d768e020a567be8de007690d92f3.json,Phishing,7,5,0,3,46
VirusShare_0001f946086beee3eeb0d4e253a23a74.json,Phishing,8,5,0,3,45
VirusShare_0002879cb85efb4b828d7618214a8e15.json,Phishing,9,8,7,5,32
VirusShare_000300a99a1fb0f43d1a220bb9c05e62.json,Phishing,8,4,0,3,46
VirusShare_00051ee7b15050851b6a629abf1e30ce.json,Phishing,8,5,0,3,45
VirusShare_000530f6e1c0935ef942997c83978500.json,Phishing,7,4,0,3,47
VirusShare_0009aa323e749b54646b64b5a0ebfd11.json,Phishing,8,4,0,3,46
VirusShare_000b1c269c6262257eec3a88eb2ee075.json,Phishing,9,5,0,3,44
VirusShare_000cf07f9ab43374d0fd815a4d8cde33.json,Phishing,8,5,0,3,45
VirusShare_000d2e80ffa17ceebf7bec03346a3e0d.json,Phishing,12,5,6,7,31
VirusShare_000e575f2e0441014ce6b3beb3053631.json,Multiple,8,8,0,4,41
